Сезон,Лига,Матчи,аншлаг,Зрителей,В среднем,Команда
2024-2025,La Liga,19,0,"1,381,142","72,692",real madrid
2023-2024,La Liga,19,0,"1,369,162","72,061",real madrid
2022-2023,La Liga,19,0,"1,076,242","56,644",real madrid
2021-2022,La Liga,19,0,"784,774","41,304",real madrid
2024-2025,La Liga,19,0,1.156.780,60.883,atletico madrid
2023-2024,La Liga,19,1,1.134.886,59.731,atletico madrid
2022-2023,La Liga,19,0,1.060.209,55.800,atletico madrid
2021-2022,La Liga,19,0,912.746,48.039,atletico madrid
2024-2025,La Liga,19,0,919.976,48.420,athletic bilbao
2023-2024,La Liga,19,0,876.131,46.112,athletic bilbao
2022-2023,La Liga,19,0,826.264,43.488,athletic bilbao
2021-2022,La Liga,19,0,626.026,32.949,athletic bilbao
2024-2025,La Liga,19,0,347.057,18.266,fc villarreal
2023-2024,La Liga,19,0,341.190,17.957,fc villarreal
2022-2023,La Liga,19,0,311.666,16.403,fc villarreal
2021-2022,La Liga,19,0,271.570,14.293,fc villarreal
2024-2025,La Liga,19,0,979.298,51.542,real betis sevilla
2023-2024,La Liga,19,0,973.914,51.259,real betis sevilla
2022-2023,La Liga,19,0,945.064,49.740,real betis sevilla
2021-2022,La Liga,19,0,792.593,41.715,real betis sevilla
2024-2025,La Liga,19,0,244.707,12.879,rayo vallecano
2023-2024,La Liga,19,0,242.409,12.758,rayo vallecano
2022-2023,La Liga,19,0,237.982,12.525,rayo vallecano
2021-2022,La Liga,19,0,150.471,7.920,rayo vallecano
2024-2025,La Liga,19,0,408.581,21.504,celta vigo
2023-2024,La Liga,19,0,380.737,20.039,celta vigo
2022-2023,La Liga,19,0,274.080,14.425,celta vigo
2021-2022,La Liga,19,0,190.257,10.014,celta vigo
2024-2025,La Liga,19,0,389.050,20.476,ca osasuna
2023-2024,La Liga,19,0,374.360,19.703,ca osasuna
2022-2023,La Liga,19,0,373.439,19.655,ca osasuna
2021-2022,La Liga,19,0,327.009,17.211,ca osasuna
2024-2025,La Liga,19,0,351.547,18.502,rcd mallorca
2023-2024,La Liga,19,0,337.577,17.767,rcd mallorca
2022-2023,La Liga,19,0,281.163,14.798,rcd mallorca
2021-2022,La Liga,19,0,242.525,12.764,rcd mallorca
2024-2025,La Liga,19,1,579.486,30.499,real sociedad san sebastian
2023-2024,La Liga,19,0,602.489,31.710,real sociedad san sebastian
2022-2023,La Liga,19,0,611.532,32.186,real sociedad san sebastian
2021-2022,La Liga,19,0,509.445,26.813,real sociedad san sebastian
2024-2025,La Liga,19,0,817.792,43.042,fc valencia
2023-2024,La Liga,19,0,824.974,43.420,fc valencia
2022-2023,La Liga,19,0,771.429,40.602,fc valencia
2021-2022,La Liga,19,0,519.638,27.349,fc valencia
2024-2025,La Liga,19,0,217.902,11.469,fc getafe
2023-2024,La Liga,19,0,217.671,11.456,fc getafe
2022-2023,La Liga,19,0,220.245,11.592,fc getafe
2021-2022,La Liga,19,0,165.338,8.702,fc getafe
2024-2025,La Liga,19,0,329.043,17.318,deportivo alaves
2023-2024,La Liga,19,0,330.434,17.391,deportivo alaves
2022-2023,La Liga,21,1,294.598,14.028,deportivo alaves
2021-2022,La Liga,19,0,208.086,10.952,deportivo alaves
2024-2025,La Liga,19,0,221.487,11.657,fc girona
2023-2024,La Liga,19,0,237.885,12.520,fc girona
2022-2023,La Liga,19,1,217.946,11.471,fc girona
2021-2022,La Liga,21,0,104.664,4.984,fc girona
2024-2025,La Liga,19,0,676.765,35.619,fc sevilla
2023-2024,La Liga,19,0,674.364,35.493,fc sevilla
2022-2023,La Liga,19,0,675.843,35.571,fc sevilla
2021-2022,La Liga,19,0,565.355,29.756,fc sevilla
2024-2025,La Liga,19,0,487.160,25.640,espanyol barcelona
2023-2024,La Liga,21,0,402.087,20.104,espanyol barcelona
2022-2023,La Liga,19,0,410.428,21.601,espanyol barcelona
2021-2022,La Liga,19,0,329.686,17.352,espanyol barcelona
2024-2025,La Liga,21,0,335.891,15.995,ud levante
2023-2024,La Liga,21,0,298.742,14.226,ud levante
2022-2023,La Liga,21,0,295.773,14.084,ud levante
2021-2022,La Liga,19,0,284.307,14.964,ud levante
2024-2025,La Liga,21,0,400.165,19.055,fc elche
2023-2024,La Liga,21,0,329.596,15.695,fc elche
2022-2023,La Liga,19,0,377.617,19.875,fc elche
2021-2022,La Liga,19,0,292.859,15.414,fc elche
2024-2025,La Liga,21,0,434.126,20.673,real oviedo
2023-2024,La Liga,21,0,377.464,17.974,real oviedo
2022-2023,La Liga,21,0,284.495,13.547,real oviedo
2021-2022,La Liga,21,0,225.383,10.733,real oviedo
2024-2025,Bundesliga,17,17,1.275.000,75.000,fc bayern munchen
2023-2024,Bundesliga,17,17,1.275.000,75.000,fc bayern munchen
2022-2023,Bundesliga,17,14,1.275.048,75.003,fc bayern munchen
2021-2022,Bundesliga,17,13,562.048,40.146,fc bayern munchen
2024-2025,Bundesliga,17,12,509.329,29.961,bayer 04 leverkusen
2023-2024,Bundesliga,17,11,509.732,29.984,bayer 04 leverkusen
2022-2023,Bundesliga,17,10,486.396,28.612,bayer 04 leverkusen
2021-2022,Bundesliga,17,6,290.460,18.154,bayer 04 leverkusen
2024-2025,Bundesliga,17,10,979.200,57.600,eintracht frankfurt
2023-2024,Bundesliga,17,10,968.300,56.959,eintracht frankfurt
2022-2023,Bundesliga,17,11,850.200,50.012,eintracht frankfurt
2021-2022,Bundesliga,17,4,447.750,26.338,eintracht frankfurt
2024-2025,Bundesliga,17,17,1.383.205,81.365,borussia dortmund
2023-2024,Bundesliga,17,16,1.382.190,81.305,borussia dortmund
2022-2023,Bundesliga,17,15,1.380.875,81.228,borussia dortmund
2021-2022,Bundesliga,17,10,710.601,41.800,borussia dortmund
2024-2025,Bundesliga,17,9,581.200,34.188,sc freiburg
2023-2024,Bundesliga,17,10,581.334,34.196,sc freiburg
2022-2023,Bundesliga,17,9,579.900,34.112,sc freiburg
2021-2022,Bundesliga,17,12,315.100,18.535,sc freiburg
2024-2025,Bundesliga,17,5,550.625,32.390,1 fsv mainz 05
2023-2024,Bundesliga,17,5,522.425,30.731,1 fsv mainz 05
2022-2023,Bundesliga,17,5,493.994,29.058,1 fsv mainz 05
2021-2022,Bundesliga,17,4,305.938,17.996,1 fsv mainz 05
2024-2025,Bundesliga,17,4,765.773,45.045,rasenballsport leipzig
2023-2024,Bundesliga,17,3,767.976,45.175,rasenballsport leipzig
2022-2023,Bundesliga,17,6,775.937,45.643,rasenballsport leipzig
2021-2022,Bundesliga,17,2,376.112,28.932,rasenballsport leipzig
2024-2025,Bundesliga,17,11,703.852,41.403,sv werder bremen
2023-2024,Bundesliga,17,13,709.258,41.721,sv werder bremen
2022-2023,Bundesliga,17,11,705.946,41.526,sv werder bremen
2021-2022,Bundesliga,17,13,458.524,28.658,sv werder bremen
2024-2025,Bundesliga,17,8,1.007.500,59.265,vfb stuttgart
